Name,Dots,Lab Topics,Related Tags,Reverse Related Tags,Books,Media,Notes,Organizations,People,Last Edited,Media Highlights,Journal Entries,Places,Organization Job Interest,Job Interest,🗺️ Personal Board
Self-Driving Cars,,,"https://www.notion.so/Artificial-Intelligence-a162df4f78ef457bb28f08b761ff935d, https://www.notion.so/Transportation-d85b9c6a0942463aa5c3d2c1f4fcf5a8","https://www.notion.so/Artificial-Intelligence-a162df4f78ef457bb28f08b761ff935d, https://www.notion.so/Transportation-d85b9c6a0942463aa5c3d2c1f4fcf5a8",,,,https://www.notion.so/Applied-Intuition-a5ecec559dad47d782a237ccbdaa4578,,"December 21, 2022 12:13 PM",,,,1,,
AI Job Search,,,"https://www.notion.so/Artificial-Intelligence-a162df4f78ef457bb28f08b761ff935d, https://www.notion.so/Recruiting-and-Job-Searching-cc5f91d79e3544aa84f7f252f559cf60","https://www.notion.so/Artificial-Intelligence-a162df4f78ef457bb28f08b761ff935d, https://www.notion.so/Recruiting-and-Job-Searching-cc5f91d79e3544aa84f7f252f559cf60",,"https://www.notion.so/Linus-Lee-Is-Living-With-AI-Superorganizers-Every-064ae4afceec4801a082da38f8943d15, https://www.notion.so/The-AI-Unbundling-Stratechery-by-Ben-Thompson-3816f8b6934c409398c755c1f2b6695a, https://www.notion.so/Internal-Family-Systems-Model-Wikipedia-84e270949cfb44f0ab0d7c77462efc8b, https://www.notion.so/I-Taught-ChatGPT-to-Invent-a-Language-by-Dylan-Black-0e5b9700e1ed46bd9285f516fe0258c8, https://www.notion.so/Generative-AI-Market-Map-bc055908940f48868eb90d9616f261e2, https://www.notion.so/Variational-Autoencoders-a781c4eb5ab14e62a3d738b0eca56538, https://www.notion.so/Reinforcement-Learning-with-Sparse-Rewards-7ef6870d17a84f90b8ec582df72681d3, https://www.notion.so/An-Introduction-to-Reinforcement-Learning-d3436406e5904739ae4acaa984593b96, https://www.notion.so/Illustrated-Guide-to-Transformer-Neural-Network-A-step-by-step-explanation-44301315e9ec4a9bb074bd3c7b5b56c0, https://www.notion.so/Discovering-Language-Model-Behaviors-with-Model-Written-Evaluations-109f73f0ee89465fb0e02d490ce08141, https://www.notion.so/The-2022-Stratechery-Year-in-Review-Stratechery-by-Ben-Thompson-ba61e87285c74ae9a1df9e1915c647df, https://www.notion.so/How-to-Succeed-in-Business-by-Bundling-and-Unbundling-471840e653f94d85bce778e983de116c",,"https://www.notion.so/Tana-f019f9c59272476584663a973878464c, https://www.notion.so/Notion-ed125246314b4dcd8702b5d7bd51b15c, https://www.notion.so/Midjourney-2d409e73f1f543d6bdc134b16b513912, https://www.notion.so/DeepMind-29294a621f384d2a844c3524b55f0a3e, https://www.notion.so/OpenAI-4b09b836493b4f538612bea7a4413d87, https://www.notion.so/Spotify-35c25f144d9c4104a5ec92bbfb88e7b5, https://www.notion.so/Softspace-2a594f1728ad4e2d953dc86c4e2bd720, https://www.notion.so/Fermat-dae374239c324bf087fe85c881affa52, https://www.notion.so/a48021f3320f4b39898d2cb29ef6a6dc, https://www.notion.so/Anthropic-AI-d693418e34494c34b052d31271d89253, https://www.notion.so/Adept-c5f00ee38b4840c7975e9138de6d7e16, https://www.notion.so/Gantry-f9d4d0559ec7414481d647fa39420ee3, https://www.notion.so/Rewind-AI-22b308bd4f9f42ce8544e94f7db4a34e, https://www.notion.so/Wombo-AI-c631ee26bcf84045b1f43fcceab769e9, https://www.notion.so/Runway-78ce3f9e4a314e65b753c87521992606, https://www.notion.so/Applied-Intuition-a5ecec559dad47d782a237ccbdaa4578, https://www.notion.so/Roboflow-f25551af7c5f43c78a876f1fc9c43c81","https://www.notion.so/Karina-Nguyen-ccb7e8a1775d48ccb100c57a1681183d, https://www.notion.so/Peter-Welinder-f868ffeedbb24d14b837ea2cee95a2d8, https://www.notion.so/Oscar-Batori-e1da377158e4436a9162757440501671, https://www.notion.so/Blake-Street-209ebe15b98b4d199d17ec0ea59cb226, https://www.notion.so/Josh-Tobin-c25736f111b645f3bfa92c9f8a789c59, https://www.notion.so/Dan-Siroker-56992e2ff43a493c967b59cae2b8e25b, https://www.notion.so/Brett-Bejcek-7689849b8b204491aeea9fa5d86f6557, https://www.notion.so/Ben-Zion-Benkhin-4f3fdd164cd843e18fdbfe021458ca69, https://www.notion.so/Crist-bal-Valenzuela-8cdc2686b79c46eb93b58396232bd748, https://www.notion.so/Alejandro-Matamala-Ortiz-8db952fc0df54b73889959bb206f1efe, https://www.notion.so/Kenny-Hoang-d12f288671c34b9e87323d1866d7213f, https://www.notion.so/Vijaysai-Patnaik-4887647f558a44a682d934bfce9011df, https://www.notion.so/Joseph-Nelson-12a07ec1a00c4dec82b208a0a7f5c1e4","December 10, 2022 2:59 PM",,,,1,,
Terrible Chart,,,,,,,,,,"November 15, 2022 12:44 PM",,,,,,
Business Development,,,,,,,,,"https://www.notion.so/Kelsey-Garvey-b915be578737479e8eaa293b22bedd0f, https://www.notion.so/Peter-Welinder-f868ffeedbb24d14b837ea2cee95a2d8, https://www.notion.so/Oscar-Batori-e1da377158e4436a9162757440501671, https://www.notion.so/Blake-Street-209ebe15b98b4d199d17ec0ea59cb226","November 7, 2022 8:04 PM",,,,,,
Graphics,,,,,,,,https://www.notion.so/Nvidia-33cc2f6c54d7425b83b35a5584fb889c,,"November 7, 2022 4:12 PM",,,,1,,
Video,,,,,,,,https://www.notion.so/YouTube-f3fcfee0eff443b4a930a7428c68fd11,,"November 7, 2022 3:57 PM",,,,1,,
Public Services,,,,,,,,https://www.notion.so/NPR-76f143a55ba149b3b1902d1d2badea69,,"November 7, 2022 3:36 PM",,,,1,,
Radio,,,,,,,,https://www.notion.so/NPR-76f143a55ba149b3b1902d1d2badea69,,"November 7, 2022 3:36 PM",,,,1,,
Start-Ups,,,"https://www.notion.so/Music-Business-8afe0ac7fee6408b88b28fe7c50e8432, https://www.notion.so/Social-Media-9b3a7d3a5357474a9ee91d60b19bb929, https://www.notion.so/Careers-1b593edf57074f1fa51d78293dd01acb, https://www.notion.so/Technology-86656c03c3ba4683b5e8964123d1e99a, https://www.notion.so/Business-a3bc43a710a74e6282af03f0865fd03a, https://www.notion.so/Innovation-0ef9f4c9495b4581a5d71e3a9803fa72, https://www.notion.so/Economics-d0a013d3adac497aa7fc4b2e23922811","https://www.notion.so/Music-Business-8afe0ac7fee6408b88b28fe7c50e8432, https://www.notion.so/Social-Media-9b3a7d3a5357474a9ee91d60b19bb929, https://www.notion.so/Business-a3bc43a710a74e6282af03f0865fd03a, https://www.notion.so/Technology-86656c03c3ba4683b5e8964123d1e99a, https://www.notion.so/Innovation-0ef9f4c9495b4581a5d71e3a9803fa72, https://www.notion.so/Careers-1b593edf57074f1fa51d78293dd01acb, https://www.notion.so/Economics-d0a013d3adac497aa7fc4b2e23922811","https://www.notion.so/The-Lean-Product-Handbook-63f0bdef711d4881aad0f16d76bc80b5, https://www.notion.so/Inspired-How-to-Create-Tech-Products-Customers-Love-81fdabc4aa1741509140462b15165e4c","https://www.notion.so/When-Everything-is-Important-But-Nothing-is-Getting-Done-afca9fda80d540db9c8a1e249a7dedcf, https://www.notion.so/How-to-Succeed-in-Business-by-Bundling-and-Unbundling-471840e653f94d85bce778e983de116c",,"https://www.notion.so/Y-Combinator-7e86df2d177b4e038d9602bbbe0d2e42, https://www.notion.so/WeWork-7289d18e7e9e46d98548067d66b2d71c, https://www.notion.so/Airbnb-fbe30239a6684bac902e04540fe29268, https://www.notion.so/Runway-78ce3f9e4a314e65b753c87521992606","https://www.notion.so/Diana-Gremore-69da062dbb0f4f809df46ca695e936a6, https://www.notion.so/Marty-Cagan-8eb1a099b4fa4fe48354729b81e5d027, https://www.notion.so/Josh-Tobin-c25736f111b645f3bfa92c9f8a789c59, https://www.notion.so/Dan-Siroker-56992e2ff43a493c967b59cae2b8e25b, https://www.notion.so/Brett-Bejcek-7689849b8b204491aeea9fa5d86f6557, https://www.notion.so/Ben-Zion-Benkhin-4f3fdd164cd843e18fdbfe021458ca69, https://www.notion.so/Crist-bal-Valenzuela-8cdc2686b79c46eb93b58396232bd748, https://www.notion.so/Alejandro-Matamala-Ortiz-8db952fc0df54b73889959bb206f1efe, https://www.notion.so/Joseph-Nelson-12a07ec1a00c4dec82b208a0a7f5c1e4","November 7, 2022 1:16 PM",,,,1,High,
Design,,,"https://www.notion.so/Technology-86656c03c3ba4683b5e8964123d1e99a, https://www.notion.so/Media-Studies-dff9a148f7bf42b287ac43cde3cfc525, https://www.notion.so/Innovation-0ef9f4c9495b4581a5d71e3a9803fa72, https://www.notion.so/Business-a3bc43a710a74e6282af03f0865fd03a, https://www.notion.so/Ideation-c5e428d209f94365932cf638dcea0daa, https://www.notion.so/Branding-17f74fc924044be8b0cedfcc2d78f280, https://www.notion.so/Product-Strategy-and-Management-b981cbd4d03c49528158ece86eee01f2, https://www.notion.so/Visualization-4c266a52792b417584a3972d969b3dfc, https://www.notion.so/Human-Information-Interaction-140c90e3db7e438cac7219817d81f387, https://www.notion.so/Aesthetics-bdb21d57512f446a975f89b452b4682f, https://www.notion.so/Fashion-9fd3bc305cbc4f4f81a1f9781636e277, https://www.notion.so/Architecture-d12d8e30e12a4a0ea2102d24640da31e, https://www.notion.so/Interior-Design-db3bdc74ee7849bcadaee91ee3ca1e16, https://www.notion.so/Engineering-d3b7f74a6b4a45f49e6566ca96d6089b","https://www.notion.so/Technology-86656c03c3ba4683b5e8964123d1e99a, https://www.notion.so/Media-Studies-dff9a148f7bf42b287ac43cde3cfc525, https://www.notion.so/Innovation-0ef9f4c9495b4581a5d71e3a9803fa72, https://www.notion.so/Business-a3bc43a710a74e6282af03f0865fd03a, https://www.notion.so/Ideation-c5e428d209f94365932cf638dcea0daa, https://www.notion.so/Branding-17f74fc924044be8b0cedfcc2d78f280, https://www.notion.so/Product-Strategy-and-Management-b981cbd4d03c49528158ece86eee01f2, https://www.notion.so/Visualization-4c266a52792b417584a3972d969b3dfc, https://www.notion.so/Human-Information-Interaction-140c90e3db7e438cac7219817d81f387, https://www.notion.so/Fashion-9fd3bc305cbc4f4f81a1f9781636e277, https://www.notion.so/Aesthetics-bdb21d57512f446a975f89b452b4682f, https://www.notion.so/Architecture-d12d8e30e12a4a0ea2102d24640da31e, https://www.notion.so/Interior-Design-db3bdc74ee7849bcadaee91ee3ca1e16, https://www.notion.so/Engineering-d3b7f74a6b4a45f49e6566ca96d6089b","https://www.notion.so/Designing-Your-Life-3b6c4da268aa42789f80fdbb80cdb97f, https://www.notion.so/The-Lean-Product-Handbook-63f0bdef711d4881aad0f16d76bc80b5",,https://www.notion.so/Odyssey-Plans-a427539659a348f39089fd63ba712329,"https://www.notion.so/ICON-Technology-Studio-6c49249973bc45459700c48c6866f5a8, https://www.notion.so/Adobe-003835999fa543419b622d21afb637eb, https://www.notion.so/Figma-17b1cf168c044b2ba94622bbd02a41c6","https://www.notion.so/Bill-Burnett-c49b75ccdce949fe86153e8dc09acce2, https://www.notion.so/Dave-Evans-de2e76c1e96746f09bcbb2f4ed4e1ac9, https://www.notion.so/Brian-Schmitt-16b09804367e4b8f82f69cf49e88b71f, https://www.notion.so/Dan-Olsen-d6611205988c4a588b8b1c5ddf473122, https://www.notion.so/Antonio-Rodr-guez-f788868c5def48c39ad672761adfbb7c, https://www.notion.so/Noah-Levin-a429992242dc43a0a5ae8f955efbd2b1","November 7, 2022 1:16 PM",,https://www.notion.so/August-20th-2022-c6affbed81284a09affcd41c8fa4915b,,1,High,
